cate,name
蔬菜,甜椒
粮油米面,泡菜
中草药材,赤芍
中草药材,黄连
中草药材,硫黄
粮油米面,黄米
中草药材,仙鹤草
畜牧水产,蛇
蔬菜,苦苣
水果,人参果
中草药材,地参
农副产品,核桃
蔬菜,茄子
粮油米面,方便面
农副产品,鸡肉
中草药材,云芝
农副产品,西瓜籽
水果,木瓜
粮油米面,主粮
农副产品,棉花
粮油米面,火麻油
畜牧水产,墨鱼
蔬菜,淮山
水果,杈杷果
中草药材,白果中药
蔬菜,黑木耳
蔬菜,瓜菜类
蔬菜,大葱
蔬菜,地皮菜
畜牧水产,鸵鸟
粮油米面,粉条粉块
中草药材,槐角
畜牧水产,鲈鱼
中草药材,硇砂
蔬菜,牛肝菌
水果,乌梅
水果,槟榔
农副产品,松子
畜牧水产,泥鳅苗
中草药材,昆布
蔬菜,紫薯
水果,金刺梨
农副产品,葛根干
中草药材,黄藤
农副产品,五味子
中草药材,巴豆
畜牧水产,鳄鱼苗
畜牧水产,沙丁鱼
水果,释迦果
水果,山楂
中草药材,地榆
蔬菜,蔓菁;芥蓝
水果,柿子
蔬菜,豇豆
中草药材,瓦松
粮油米面,豆豉
农副产品,莲子
畜牧水产,畜禽类
农副产品,橡子仁
农副产品,鸡蛋
农副产品,孜然粉
粮油米面,亚麻籽油
农副产品,进口酒类
畜牧水产,泥鳅
粮油米面,黑米
中草药材,花类
畜牧水产,鲶鱼
农副产品,礼盒包装
水果,柠檬
中草药材,核仁
粮油米面,荞麦挂面
蔬菜,荔浦芋
中草药材,葛花
水果,构桃
畜牧水产,土元
中草药材,当药
粮油米面,椰子油
中草药材,党参
水果,梅子
粮油米面,调味品
蔬菜,青椒
水果,沙棘果
农副产品,牛肉
畜牧水产,水产类
蔬菜,秋葵
畜牧水产,珍珠鸡
水果,百香果
中草药材,植物提取物
中草药材,儿茶
中草药材,青蒿
畜牧水产,火鸡
蔬菜,水芹
中草药材,山茱萸
粮油米面,玉米
粮油米面,孜然
中草药材,知母
粮油米面,薏仁米
水果,拐枣
蔬菜,海苔
水果,提子
中草药材,白薇
畜牧水产,贵妃鸡
农副产品,鸭蛋
农副产品,坚果
中草药材,香叶
畜牧水产,鹧鸪苗
畜牧水产,鱿鱼
水果,橙
水果,榴莲
中草药材,射干
中草药材,地椒
农副产品,咖啡豆
蔬菜,蘑菇
中草药材,草果
粮油米面,燕麦
蔬菜,砍瓜
水果,丑橘
农副产品,耗油
水果,鲜枣
农副产品,红酒
中草药材,紫河车
农副产品,无花果干
畜牧水产,乌龟苗
粮油米面,糯米
水果,诺丽果
粮油米面,熊猫豆
农副产品,杏仁
中草药材,沉香
水果,雪莲果
蔬菜,鲜蚕豆
粮油米面,核桃油
畜牧水产,生蚝
畜牧水产,野鸭
农副产品,茶叶酒饮
蔬菜,?头
粮油米面,藜麦
中草药材,北沙参
蔬菜,豌豆
畜牧水产,七星鱼
粮油米面,文冠果油
农副产品,腊肉
蔬菜,冬瓜
粮油米面,葵花籽油
农副产品,香肠制品
粮油米面,食用油
粮油米面,调味油
蔬菜,番杏
农副产品,绞股
畜牧水产,猪
农副产品,松仁
粮油米面,棉籽
畜牧水产,繁育种苗
中草药材,黄芩
粮油米面,苏籽
蔬菜,香椿芽
农副产品,板鸭
水果,椰子
水果,甘蔗
中草药材,肉桂
水果,杨桃
畜牧水产,神仙鱼
农副产品,花粉
畜牧水产,水蛭
蔬菜,韭黄
中草药材,竹花
农副产品,龙井茶
畜牧水产,大闸蟹
中草药材,苏木
农副产品,干菌子
农副产品,碧根果
农副产品,桂圆干
水果,猕猴桃
中草药材,厚朴
畜牧水产,孔雀
中草药材,杜仲
粮油米面,五谷米
粮油米面,蓖麻
蔬菜,凉薯
农副产品,枸杞
蔬菜,甘蓝类
中草药材,香茅
畜牧水产,娃娃鱼苗
中草药材,决明子
畜牧水产,蛙
农副产品,鸡副产品
粮油米面,蚕豆
中草药材,猫爪草
农副产品,葡萄酒
粮油米面,大麦
畜牧水产,米虾
粮油米面,菜籽油
蔬菜,葱姜蒜类
中草药材,棕榈
蔬菜,四季豆;菜豆
农副产品,玫瑰花茶
粮油米面,焖子
水果,树莓
畜牧水产,人工娃娃鱼
蔬菜,黑番茄
蔬菜,金丝绞瓜
中草药材,蒲黄
粮油米面,芸豆
农副产品,粉皮
畜牧水产,青鱼
中草药材,果实籽仁类
农副产品,橡胶
农副产品,白茶
中草药材,鱼腥草
农副产品,饮料
畜牧水产,猪苗
粮油米面,香草豆
农副产品,蓝茶
农副产品,开心果
畜牧水产,黄鳝
蔬菜,包菜
水果,石榴
中草药材,黄柏
畜牧水产,银鱼
蔬菜,甘薯;地瓜
畜牧水产,豪猪
农副产品,柿饼
农副产品,食品加工原料
粮油米面,黑豆
粮油米面,豆制品
畜牧水产,骆驼
水果,浆果类
蔬菜,毛木耳
中草药材,柴胡
畜牧水产,蟹苗
蔬菜,娃娃菜
中草药材,苁蓉
中草药材,石韦
粮油米面,茶籽
粮油米面,面条
粮油米面,菜籽
中草药材,磁石
农副产品,咸蛋
畜牧水产,鳜鱼
农副产品,肉类
粮油米面,粉丝
农副产品,葫芦
粮油米面,馒头
粮油米面,鳄梨油
中草药材,秦皮
畜牧水产,竹鼠苗
畜牧水产,孔雀苗
农副产品,白酒
水果,荸荠
粮油米面,挂面
农副产品,加工腊肉
畜牧水产,中国斗鱼
水果,青枣
蔬菜,海带
粮油米面,旱稻
中草药材,甜茶
农副产品,枸杞干
粮油米面,十三香
水果,牛油果
蔬菜,苔干;贡菜
农副产品,食品类
粮油米面,山茶油
水果,油桃
蔬菜,双孢菇
中草药材,连翘
畜牧水产,金鱼
水果,柑桔
畜牧水产,地胆虫
农副产品,普洱
畜牧水产,鳊鱼
粮油米面,五谷杂粮
粮油米面,苏籽油
粮油米面,花椒油
畜牧水产,鲫鱼
农副产品,南瓜籽
中草药材,金银花
农副产品,黄茶
畜牧水产,鸵鸟苗
水果,桔
水果,黄皮果
蔬菜,菱角
粮油米面,稻谷
粮油米面,胡椒
农副产品,腌渍水产品
畜牧水产,蜈蚣
农副产品,葡萄干
农副产品,冲调品
水果,樱桃
畜牧水产,蚯蚓
蔬菜,栗菇
粮油米面,胡麻油
农副产品,茶叶
粮油米面,鹰嘴豆
蔬菜,食用菌
农副产品,乳制品
蔬菜,竹笋
蔬菜,松露
农副产品,六安瓜片
中草药材,茯神
畜牧水产,竹鼠
蔬菜,木耳
农副产品,土豆粉
畜牧水产,武昌鱼
蔬菜,黄心菜
畜牧水产,带鱼
蔬菜,苤蓝
农副产品,干莲子
畜牧水产,鳢鱼
粮油米面,皂角米
中草药材,桂枝
中草药材,百部
中草药材,瓜蒌皮
水果,毛桃
蔬菜,彩椒
农副产品,竹类加工品
中草药材,乌拉草
中草药材,冰片
蔬菜,洋葱
中草药材,白芍
蔬菜,土豆
农副产品,干果
蔬菜,豆角
蔬菜,四季豆
蔬菜,魔芋
水果,榴莲蜜
蔬菜,小白菜
蔬菜,西葫芦
畜牧水产,虾苗
蔬菜,蒜薹
农副产品,果仁籽类
中草药材,桑白皮
中草药材,鳖甲
农副产品,白果
中草药材,蛇床子
畜牧水产,螳螂
畜牧水产,鹅
蔬菜,菠菜
农副产品,乌龙茶
水果,甜瓜
粮油米面,小麦
水果,芒果
农副产品,皮蛋
畜牧水产,鱼
蔬菜,香菜
畜牧水产,基围虾
中草药材,黄精
农副产品,辣木
畜牧水产,甲鱼
中草药材,马鞭草
水果,番石榴
农副产品,甘栗仁
水果,瓜果
农副产品,黄酒
蔬菜,胡萝卜
畜牧水产,接吻鱼
水果,桑葚
粮油米面,圣子油
中草药材,高丽参
水果,圣女果
中草药材,桑枝
中草药材,莲须
中草药材,蒲公英
水果,红毛丹
水果,草莓
中草药材,全草类
粮油米面,黄秋葵油
畜牧水产,白乌鱼
畜牧水产,小龙虾
粮油米面,淀粉
蔬菜,葱仔
农副产品,蜂胶
蔬菜,金针菇
中草药材,樟脑
农副产品,豆瓣酱
中草药材,血党
农副产品,鸽子蛋
蔬菜,苦瓜
畜牧水产,鹅苗
畜牧水产,野猪
农副产品,水产干货
蔬菜,慈菇
中草药材,?i??
粮油米面,莜面
畜牧水产,大蠊蟑螂
农副产品,苦丁茶
蔬菜,莲藕
畜牧水产,鸡
农副产品,咸菜
农副产品,干山楂
蔬菜,杏鲍菇
水果,莲雾
水果,蜜桃
中草药材,芫花
粮油米面,胡麻籽
中草药材,轻粉
蔬菜,韭菜根
粮油米面,面粉
畜牧水产,大雁
农副产品,肉类零食
畜牧水产,蜜蜂
粮油米面,夏威夷果油
农副产品,地瓜干
畜牧水产,特种类
中草药材,树皮类
水果,脐橙
蔬菜,韭菜
农副产品,香榧
粮油米面,花生碎
农副产品,腰果
水果,西梅
畜牧水产,黄鳝苗
粮油米面,油橄榄
水果,美藤果
农副产品,卤制品
粮油米面,绿豆
畜牧水产,龟
畜牧水产,蟑螂
中草药材,千屈菜
水果,吊瓜
畜牧水产,宠物及其它
蔬菜,萝卜菜
蔬菜,脚板薯
中草药材,当归
中草药材,蚂蚁
蔬菜,红薯
粮油米面,稻壳
粮油米面,棉花棉籽
中草药材,白蔹
中草药材,黄花到睡莲
农副产品,蚕丝
中草药材,其他根茎类
农副产品,羊肉
中草药材,马兜铃
中草药材,珍珠
中草药材,龙胆草
中草药材,艾叶
水果,鲜玉米
畜牧水产,鳕鱼
中草药材,鸡血藤
中草药材,常山
农副产品,胡椒粉
粮油米面,麻子油
中草药材,卷柏
中草药材,雷丸
水果,柑橘类
农副产品,野生海参
蔬菜,花椰菜
农副产品,桃胶
农副产品,沙漠果
粮油米面,陈皮
水果,芭蕉
农副产品,酒花茶
中草药材,景天三七
中草药材,川芎
水果,其他水果
蔬菜,西红柿;番茄
水果,神秘果
蔬菜,黄花菜
农副产品,火腿
中草药材,金线莲
水果,金桔
蔬菜,山药
蔬菜,黄瓜
农副产品,百合干
蔬菜,生姜
中草药材,藤木类
蔬菜,鲜葛根
中草药材,樟木
中草药材,椿皮
畜牧水产,毒蛇鱼
农副产品,大枣
中草药材,半夏
农副产品,干姜片
蔬菜,猴头菇
中草药材,佛手片
水果,葡萄
水果,八月瓜
农副产品,辣酱
粮油米面,辣椒粉
农副产品,干菜
粮油米面,茴香
中草药材,谷芽
农副产品,鹅肉
蔬菜,竹荪
蔬菜,芹菜
农副产品,鸽肉
农副产品,可可豆
粮油米面,麦类
畜牧水产,草鱼
农副产品,牛副产品
畜牧水产,黄粉虫
水果,猫屎瓜
蔬菜,辣椒
粮油米面,玉米粒
畜牧水产,雁
畜牧水产,田螺
畜牧水产,泰国虎鱼
畜牧水产,宠物
畜牧水产,蝎子
农副产品,板栗
农副产品,速冻蔬果
蔬菜,蒜苗
粮油米面,冻米
中草药材,白英
蔬菜,鲜百合
畜牧水产,羊驼
畜牧水产,鲍鱼
中草药材,冬虫夏草
农副产品,香肠
粮油米面,大米
农副产品,干笋
蔬菜,茶树菇
农副产品,红茶
蔬菜,卷心菜
粮油米面,饺子
农副产品,铁观音
中草药材,牛大力
中草药材,松花粉
粮油米面,?_子米
粮油米面,粮食加工
中草药材,洪连
蔬菜,毛芋
畜牧水产,鹿
中草药材,通草
中草药材,通草2
粮油米面,大豆油
水果,核果仁果类
水果,青梅
水果,瓜果类
粮油米面,亚麻籽
畜牧水产,鱼苗
农副产品,调味粉
畜牧水产,果子狸苗
水果,黄金瓜
中草药材,薄荷
粮油米面,桂皮
粮油米面,姜粉
水果,梨
农副产品,肉类罐头
中草药材,茯苓
蔬菜,甜菜
农副产品,泡椒
中草药材,斑蝥
粮油米面,剁椒
蔬菜,空心菜
粮油米面,苦荞米
中草药材,菌藻类
畜牧水产,红腹水虎鱼
粮油米面,白面挂面
农副产品,土特产
粮油米面,花豆
蔬菜,水生菜类
蔬菜,青花椒
蔬菜,白菜
蔬菜,猴腿菜
农副产品,碧螺春
粮油米面,酱
畜牧水产,黄蜂鱼
中草药材,竹茹
中草药材,草乌
农副产品,茉莉花茶
水果,海棠果
中草药材,辛夷
农副产品,仿荤菜
蔬菜,西兰花
中草药材,龟甲
农副产品,丸子制品
蔬菜,油麦菜
中草药材,黄芪
蔬菜,莴苣
中草药材,檀香
蔬菜,地蒲
农副产品,绿茶
水果,橄榄
蔬菜,葛根
粮油米面,红米
蔬菜,白木耳
粮油米面,桐籽
蔬菜,荷兰豆
蔬菜,茭白
蔬菜,小葱
水果,杏
中草药材,独活
畜牧水产,海参
粮油米面,芝麻
中草药材,川乌
蔬菜,荠菜
中草药材,青果
畜牧水产,狗
农副产品,红枣
农副产品,保健酒
中草药材,大黄
粮油米面,盐
粮油米面,味精
农副产品,猪副产品
蔬菜,葱
农副产品,土特产其它
水果,香蕉
畜牧水产,多春鱼
粮油米面,橄榄油
农副产品,营养滋补品
蔬菜,茄果菜类
粮油米面,江豆
中草药材,太子参
畜牧水产,鹧鸪
畜牧水产,蛇苗
农副产品,夏威夷果
蔬菜,春笋
农副产品,蔬果罐头
水果,龙眼
水果,大红果
水果,灯笼果
蔬菜,甘蓝
农副产品,蛙肉
农副产品,鸭肉
农副产品,鹌鹑蛋
水果,菠萝
粮油米面,其它粮食
中草药材,天麻
农副产品,花茶
畜牧水产,清道夫鱼
畜牧水产,鸽子
粮油米面,青稞
农副产品,奶制品
畜牧水产,山鸡
蔬菜,藕带
水果,柚子
粮油米面,豌豆子
粮油米面,荞麦
水果,钙果
中草药材,女贞子
蔬菜,芋头
水果,桃
中草药材,荷叶
水果,李子
中草药材,麻黄
中草药材,灵芝
粮油米面,薏米
粮油米面,杏仁油
中草药材,钩藤
蔬菜,马齿菜
蔬菜,丝瓜
中草药材,滑石
畜牧水产,干海带
粮油米面,高粱
农副产品,副食品
畜牧水产,南方螺
蔬菜,木耳菜
畜牧水产,龙虾
粮油米面,粉条
水果,山竹
农副产品,枇杷膏
水果,西瓜
蔬菜,洋姜
畜牧水产,羊
粮油米面,茶叶籽油
农副产品,蜂蜡
粮油米面,醋
农副产品,苎麻
农副产品,冷冻水产品
农副产品,休闲零食
畜牧水产,鸭
蔬菜,莴笋
蔬菜,香菇
粮油米面,色拉油
粮油米面,干辣椒
水果,酸角
畜牧水产,蜂
水果,香瓜
粮油米面,石榴籽油
畜牧水产,河蟹
畜牧水产,蛙苗
中草药材,矿物类
粮油米面,红豆
蔬菜,芦笋
蔬菜,茼蒿
蔬菜,紫菜
粮油米面,青刺果
粮油米面,粳稻
中草药材,车前草
水果,蛇果
粮油米面,玉米油
蔬菜,姬松茸
蔬菜,红葱头
畜牧水产,黄颡鱼
农副产品,贡菊
中草药材,海藻
粮油米面,谷子
水果,金星果
蔬菜,芽菜
蔬菜,秀珍菇
中草药材,海马
粮油米面,芝麻油
粮油米面,料酒
农副产品,花生果
蔬菜,四棱豆
粮油米面,榨菜
中草药材,动物类
水果,荔枝
粮油米面,小米
畜牧水产,石斑鱼
中草药材,加工类
蔬菜,木薯
农副产品,蜂蜜
中草药材,丹参
中草药材,红花
中草药材,防风
蔬菜,西红柿
畜牧水产,桂鱼
中草药材,稻芽
水果,菠萝蜜
畜牧水产,禽畜类
畜牧水产,鸭苗
水果,柑
农副产品,干香菇
蔬菜,其它
农副产品,巴旦木
水果,蟠桃
粮油米面,葵花籽
中草药材,白前
中草药材,拳参
农副产品,干花椒
畜牧水产,驴
粮油米面,红花籽油
粮油米面,酱油
中草药材,金钱草
农副产品,水产;肉制品加工
水果,热带水果
水果,香如蜜
粮油米面,糖
粮油米面,杂粮
中草药材,元胡
畜牧水产,骡
水果,冬枣
农副产品,水稻;稻;玉米;豆类;薯;青稞;蚕豆;小麦;麦;油籽;蔓青;大芥;花生;胡麻;大麻;向日葵
蔬菜,萝卜;白菜;芹菜;韭菜;蒜;葱;胡萝卜;菜瓜;莲花菜;菊芋;刀豆;芫荽;莴笋;黄花;辣椒;黄瓜;西红柿;香菜
水果,梨;青梅;苹果;桃;杏;核桃;李子;樱桃;草莓;沙果;枣
中草药材,人参;当归;金银花;薄荷;艾蒿
